"Status","DaysEnrollToStart","Campus1","Campus2","ProgramVersionBSDH2017","ProgramVersionBSN2013","ProgramVersionBSN2015","DaysLeadToEnroll","GenderFemale","MaritalStatusDivorced","MaritalStatusMarried","MaritalStatusSeparated","MaritalStatusSingle","MaritalStatusWidowed","AgeAtLead","IsVeteran1","IsHispanic1","FinancialAidAdvisorID1"
"1",80,0,1,0,0,1,-1,0,0,0,1,0,0,27,0,0,1
"1",98,0,1,0,0,0,13,1,0,0,0,1,0,45,0,1,0
"0",76,0,1,0,0,1,850,1,0,0,0,1,0,27,0,0,1
"1",88,0,0,0,0,1,-1,0,0,0,0,1,0,25,0,1,1
"0",150,0,0,0,0,1,28,1,0,0,0,0,0,28,0,1,1
"0",118,0,1,0,0,1,-1,1,0,0,0,1,0,18,0,0,1
"0",46,0,0,1,0,0,-1,0,0,0,0,1,0,26,0,0,1
"0",231,0,0,0,0,0,2154,1,0,0,0,1,0,20,0,0,1
"0",122,0,0,0,0,1,-1,1,0,0,0,1,0,24,0,0,1
"1",98,0,0,0,0,0,97,1,0,1,0,0,0,33,0,0,1
"1",73,0,0,0,0,1,-1,1,0,1,0,0,0,32,0,0,1
"0",101,1,0,0,0,1,415,1,0,0,0,1,0,21,0,1,1
"1",119,1,0,0,0,1,80,0,0,0,0,1,0,18,0,1,1
"1",63,0,0,0,0,1,9,1,0,0,0,1,0,23,0,1,1
"1",6,0,0,1,0,0,570,1,0,0,0,1,0,19,0,0,1
"0",74,0,0,1,0,0,-1,1,0,0,0,1,0,23,0,0,1
"1",117,0,0,0,0,0,905,1,0,0,0,1,0,22,0,0,1
"1",56,0,0,0,0,1,13,1,0,1,0,0,0,36,0,0,1
"0",33,1,0,0,0,1,2,1,0,1,0,0,0,23,0,0,1
"1",75,0,1,0,0,1,-1,1,0,0,0,1,0,23,0,1,1
"0",131,0,1,0,0,1,-1,0,0,0,0,1,0,22,0,0,1
"1",76,1,0,0,0,0,790,1,0,1,0,0,0,18,0,1,1
"1",147,0,1,0,0,1,914,1,0,0,0,1,0,17,0,0,1
"0",125,0,0,0,0,1,61,1,0,0,0,1,0,22,0,1,1
"0",105,0,0,0,0,1,1800,0,0,0,0,1,0,21,0,0,1
"0",82,0,1,0,0,1,326,0,0,0,0,1,0,23,0,0,1
"1",110,0,0,0,0,1,-1,1,0,0,0,1,0,23,0,0,1
"1",146,0,1,0,0,1,1484,1,0,0,0,1,0,20,0,0,1
"0",101,0,1,0,0,1,168,1,0,1,0,0,0,31,0,0,1
"0",102,1,0,0,0,0,969,0,0,1,0,0,0,32,0,0,1
"1",109,0,0,1,0,0,1,1,0,1,0,0,0,19,0,0,0
"1",118,0,1,0,0,1,28,1,0,1,0,0,0,28,0,0,1
"1",80,0,0,0,0,0,-1,1,0,0,0,1,0,21,0,0,1
"1",119,1,0,0,0,1,694,1,0,0,0,1,0,21,0,1,1
"1",116,0,0,0,0,1,33,1,0,0,0,1,0,36,0,0,1
"1",104,1,0,0,0,1,1856,1,0,1,0,0,0,25,0,0,1
"1",95,1,0,0,0,1,-1,1,0,0,0,1,0,27,0,1,1
"0",126,1,0,0,0,1,937,1,0,0,0,1,0,20,0,0,1
"1",68,1,0,0,0,0,118,1,0,0,0,1,0,26,0,0,1
"0",116,0,1,0,0,1,0,1,0,0,0,1,0,24,0,1,1
"0",131,1,0,0,0,0,2,1,0,0,0,1,0,32,0,0,1
"1",126,1,0,0,0,1,721,1,0,0,0,1,0,22,0,0,1
"0",83,1,0,0,0,1,1,1,0,0,0,1,0,21,0,0,1
"0",124,1,0,0,0,1,415,1,0,1,0,0,0,27,0,0,1
"0",1403,0,1,0,1,0,38,0,0,0,0,1,0,19,0,0,1
"1",108,0,0,1,0,0,-1,1,0,0,0,1,0,19,0,1,1
"0",115,0,0,0,0,1,-1,1,0,0,0,1,0,22,0,1,1
"0",63,0,1,0,0,1,737,0,0,0,0,1,0,20,0,1,1
"0",74,1,0,0,0,1,127,0,0,0,0,1,0,27,1,0,1
"1",125,1,0,0,0,1,-1,1,0,0,0,1,0,22,0,1,1
"0",125,1,0,0,0,1,1436,1,0,1,0,0,0,30,0,1,1
"0",63,0,1,0,0,0,1657,1,0,1,0,0,0,23,0,0,1
"0",90,0,1,0,0,1,0,1,0,0,0,1,0,20,0,0,1
"0",132,0,1,0,0,0,-1,0,0,1,0,0,0,34,0,0,1
"1",116,0,1,0,0,1,18,0,0,0,0,1,0,24,0,0,1
"0",125,0,1,0,0,0,-1,1,0,1,0,0,0,39,0,0,1
"0",122,0,1,0,0,1,842,1,0,0,0,1,0,23,0,0,1
"0",105,1,0,0,0,1,-1,1,0,0,0,1,0,21,0,0,1
"1",95,0,0,1,0,0,-1,1,0,0,0,0,0,20,0,0,1
"0",67,0,1,0,0,0,1837,1,0,0,0,1,0,24,0,0,1
"0",14,0,0,1,0,0,-1,1,0,0,0,1,0,30,0,0,1
"0",117,0,0,0,0,1,67,1,0,0,0,0,0,20,0,0,1
"1",73,0,0,0,0,1,6,0,0,0,0,1,0,30,0,0,0
"1",126,0,0,0,0,1,968,1,0,1,0,0,0,29,0,0,1
"0",104,0,0,0,0,1,42,0,0,0,0,1,0,26,0,0,1
"1",130,0,0,0,0,1,34,1,0,0,0,1,0,25,0,0,1
"1",48,1,0,0,0,1,833,1,0,0,0,1,0,26,0,1,1
"0",69,1,0,0,0,1,1,1,0,0,0,1,0,26,0,1,1
"0",63,0,0,0,0,1,0,0,0,0,0,1,0,22,0,0,1
"0",94,0,0,0,0,1,2331,1,0,0,0,1,0,18,0,0,1
"0",117,0,1,0,0,1,-1,1,0,0,0,1,0,22,0,1,1
"0",131,0,0,0,0,1,22,1,0,0,0,1,0,24,0,0,1
"1",118,1,0,0,0,1,1950,1,0,0,0,1,0,28,0,0,1
"1",137,0,0,0,0,0,502,1,0,0,1,0,0,34,0,0,0
"0",68,1,0,0,0,1,-1,1,0,0,0,1,0,34,0,1,1
"1",124,0,0,0,0,1,-1,1,0,0,0,0,0,23,0,0,0
"1",87,0,1,0,0,1,127,1,0,0,0,1,0,21,0,0,1
"0",111,1,0,0,0,1,-1,1,0,0,0,1,0,25,0,1,1
"0",101,0,0,0,0,1,13,1,0,0,0,1,0,26,0,1,1
"1",115,0,0,0,0,1,52,1,0,0,0,0,0,19,0,0,1
"0",122,0,0,0,0,1,20,0,0,0,0,1,0,24,0,0,1
"1",97,0,1,0,0,1,0,1,0,0,0,1,0,29,0,0,0
"1",91,1,0,0,0,1,0,1,0,0,0,1,0,27,0,1,1
"1",91,0,1,0,0,1,-1,1,0,0,0,1,0,19,0,1,0
"1",110,1,0,0,0,1,6,1,0,0,0,1,0,21,0,1,1
"0",81,1,0,0,0,1,-1,1,0,0,0,1,0,20,0,0,1
"1",83,0,1,0,0,1,0,1,0,0,0,1,0,22,0,1,1
"0",63,0,0,0,0,1,-1,1,0,0,0,1,0,16,0,1,1
"0",157,0,0,0,0,1,-1,0,0,1,0,0,0,31,0,1,1
"0",136,0,1,0,0,1,-1,1,0,0,0,1,0,22,0,0,1
"1",87,1,0,0,0,1,0,1,0,0,0,1,0,27,0,1,1
"0",112,0,0,0,0,1,83,1,0,1,0,0,0,31,0,1,1
"1",132,0,0,0,0,0,0,1,0,1,0,0,0,45,0,0,1
"1",138,0,0,0,0,1,15,1,0,0,0,1,0,22,0,1,1
"1",144,0,1,0,0,1,4,1,0,0,0,1,0,29,0,0,0
"1",110,0,1,0,0,1,6,0,0,0,0,1,0,18,0,1,1
"0",53,0,1,0,0,1,154,1,0,0,0,1,0,19,0,0,1
"0",112,1,0,0,0,1,1623,1,0,1,0,0,0,25,0,0,1
"0",66,1,0,0,0,0,13,1,0,0,0,1,0,23,0,0,1
"0",111,0,0,0,0,1,54,0,0,0,0,1,0,20,0,0,1
"0",112,0,0,0,0,1,-1,0,0,0,0,1,0,23,0,1,1
"0",6,0,0,1,0,0,0,1,0,0,0,1,0,22,0,0,1
"1",53,0,1,0,0,0,90,1,0,1,0,0,0,37,0,0,1
"0",108,0,0,0,0,1,-1,0,0,0,0,1,0,27,0,1,1
"1",81,0,1,0,0,1,-1,1,0,0,0,1,0,22,0,0,1
"0",117,1,0,0,0,1,-1,1,0,0,0,1,0,24,0,1,1
"0",116,0,0,0,0,1,42,1,0,0,0,0,0,21,0,0,1
"0",98,0,0,0,0,1,205,1,0,0,0,1,0,22,0,0,1
"1",126,1,0,0,0,1,-1,1,0,0,0,1,0,21,0,1,1
"1",51,0,1,0,0,0,-1,1,0,0,0,0,0,31,0,0,0
"0",126,0,1,0,0,1,3,1,0,0,0,1,0,22,0,0,1
"1",74,1,0,0,0,1,0,0,0,1,0,0,0,41,0,1,1
"0",13,0,0,1,0,0,161,1,0,1,0,0,0,29,0,0,1
